Time,Ref_RPM,Act_RPM,Vq_pu,Vd_pu,Iq_pu,Id_pu
0,0,0,0,0,0,0
0.001,138.462,19.6483,-1.1,-1.1,0.469386,-0.559899
0.002,276.923,66.139,1.1,-1.1,0.550616,-1.5037
0.0031,429.231,135.137,-1.1,-1.1,0.451349,-2.38323
0.0041,567.692,205.805,-1.1,-1.1,0.444728,-3.05737
0.005,692.308,277.843,1.1,-1.1,0.533769,-3.57185
0.006,830.769,386.631,1.1,1.1,0.953191,-2.75437
0.007,900,536.924,-1.1,-1.1,1.25539,-1.51111
0.008,900,663.371,1.1,1.1,1.33069,-0.494904
0.009,900,750.998,-1.1,-1.1,1.15241,0.24879
0.0101,900,798.024,1.1,1.1,0.76744,0.94583
0.0111,900,814.123,1.1,1.1,0.770996,1.96721
0.0121,900,816.356,1.1,1.1,0.686626,2.02132
0.0131,900,819.023,1.1,-1.1,0.72648,1.85701
0.0141,900,822.961,1.1,1.1,0.767387,1.9371
0.0151,900,827.177,1.1,1.1,0.688313,1.79373
0.0161,900,833.538,1.1,1.1,0.627612,1.64866
0.0171,900,842.917,1.1,1.1,0.596749,1.52255
0.0181,900,850.139,1.1,-1.1,0.256444,0.658279
0.0191,900,859.889,1.1,-1.1,0.205457,-0.363906
0.0201,900,872.719,1.1,1.1,0.234056,-0.223584
0.0211,900,882.844,1.1,1.1,0.148391,-0.107789
0.0221,900,888.371,1.1,1.1,0.143814,-0.0334111
0.0231,900,891.378,-1.1,0.8191,0.00669076,-0.0116972
0.0241,900,892.569,0.524554,1.1,0.0829059,0.0231601
0.0251,900,893.012,1.1,1.1,0.0694755,-0.00819254
0.0261,900,893.166,1.1,1.1,0.0376775,0.0190311
0.0271,900,893.947,-1.1,-0.324187,-0.0082388,-0.0939429
0.0281,900,894.027,-0.475612,-1.1,0.00909309,-0.069983
0.0291,900,893.978,0.90288,-1.1,0.0866462,-0.115578
0.0301,900,893.935,1.1,-1.1,0.0723525,-0.0899578
0.0311,900,893.642,1.1,-1.1,0.054616,-0.0694583
0.0321,900,893.915,1.1,-1.1,0.0400954,-0.0944264
0.0331,900,893.926,1.1,-1.1,0.022515,-0.0710551
0.0341,900,894.391,-1.1,1.1,0.00530197,0.0284181
0.0351,900,894.429,-1.1,0.0697765,-0.0140084,-0.0516178
0.036,900,893.965,1.1,-1.1,0.0553612,-0.06162
0.037,900,894.211,1.1,1.1,0.0393905,0.0349068
0.038,900,894.067,1.1,1.1,0.0213421,0.0359727
0.039,900,894.345,-1.1,-0.705047,0.00256078,-0.127485
0.04,900,894.547,-1.1,-1.1,-0.0100365,-0.0985449
0.041,900,894.531,-1.1,-1.1,-0.026903,-0.074666
0.042,900,894.151,1.1,-1.1,0.07986,-0.124048
0.043,900,893.714,1.1,-1.1,0.0675069,-0.100095
0.044,900,893.839,1.1,-1.1,0.0656488,-0.0754609
0.045,900,894.132,1.1,-1.1,0.0407363,-0.128725
0.046,900,894.375,1.1,-1.1,0.0278693,-0.0994967
0.047,900,894.43,-1.1,-1.1,0.0113426,-0.0746557
0.048,900,894.117,-1.1,1.1,-0.00582871,-0.00292325
0.049,900,893.863,1.1,1.1,0.0711834,0.0210033
0.05,900,893.435,1.1,1.06937,0.0553475,0.0375756
0.051,900,893.604,1.1,-1.1,0.0374953,-0.112549
0.052,900,893.552,1.1,-1.1,0.0228651,-0.0873815
0.053,900,894.033,-1.1,-1.1,0.00500761,-0.1403
0.054,900,894.471,-1.1,-1.1,-0.00597808,-0.108168
0.055,900,894.216,1.1,-1.1,0.0724689,-0.0846531
0.056,900,893.898,1.1,-1.1,0.0538902,-0.0649765
0.057,900,894.28,1.1,-1.1,0.043762,-0.124261
0.058,900,894.692,1.1,-1.1,0.0298703,-0.0944086
0.059,900,894.139,1.1,-1.1,0.0282966,-0.0748957
0.06,900,894.182,-1.1,-1.1,0.0122329,-0.101993
0.061,900,894.037,-1.1,-1.1,-0.00375677,-0.0785953
0.062,900,893.899,1.1,-1.1,0.0935233,-0.142636
0.063,900,894.457,1.1,-1.1,0.082274,-0.109531
0.064,900,894.093,1.1,-1.1,0.0675029,-0.0868719
0.065,900,893.46,1.1,-1.1,0.0636957,-0.0688851
0.066,900,893.713,1.1,-1.1,0.0558362,-0.14018
0.067,900,894.223,1.1,-1.1,0.0443354,-0.107901
0.068,900,894.577,1.1,-1.1,0.0280795,-0.0804506
0.069,900,894.548,-1.1,-1.1,0.00935641,-0.0946858
0.07,900,894.175,-1.1,-1.1,-0.00743288,-0.073781
0.071,900,894.24,1.1,1.1,0.0990295,0.00855538
0.072,900,894.039,1.1,1.1,0.0825159,0.0311529
0.073,900,894.251,1.1,-1.1,0.0625047,-0.0686393
0.074,900,894.393,1.1,1.1,0.0226615,0.0462344
0.075,900,894.337,1.1,1.1,0.0453259,-0.000731316
0.076,900,893.914,1.1,1.1,0.0308203,0.0216382
0.077,900,894.002,1.1,1.1,0.011879,0.0446268
0.078,900,894.208,-1.1,-1.1,0.0114942,-0.089659
0.079,900,893.948,-1.1,-1.1,-0.00616027,-0.0685999
0.08,900,894.197,0.715779,1.1,0.0801538,0.0176885
0.081,900,894.332,1.1,1.1,0.0618813,0.0416671
0.082,900,894.192,1.1,1.1,0.0499063,-0.0285143
0.083,900,894.221,1.1,1.1,0.0388354,0.000431987
0.084,900,894.194,1.1,1.1,0.0235554,0.0253014
0.085,900,894.636,-1.1,0.0596132,0.00390354,-0.052787
0.086,900,894.533,1.1,-1.1,0.0701427,-0.133367
0.087,900,894.329,1.1,-1.1,0.0586357,-0.106821
0.088,900,893.978,1.1,-1.1,0.0429993,-0.084747
0.089,900,894.116,1.1,-1.1,0.0247838,-0.129597
0.09,900,894.492,-1.1,-1.1,0.00349029,-0.0992127
0.091,900,894.592,-1.1,-1.1,-0.0132536,-0.0744616
0.092,900,894.275,1.1,-1.1,0.0930427,-0.123342
0.093,900,894.684,1.1,-1.1,0.0790191,-0.0936044
0.094,900,894.024,1.1,-1.1,0.0623119,-0.0750042
0.095,900,893.971,1.1,-1.1,0.0579586,-0.115894
0.096,900,894.511,-1.1,-1.1,-0.0146294,-0.0861478
0.097,900,894.135,1.1,-1.1,0.0902352,-0.0663415
0.098,900,894.421,1.1,-1.1,0.0792591,-0.118348
0.099,900,893.911,1.1,-1.1,0.0660961,-0.0956036
